L	B-COMPANY
G	I-COMPANY
화	I-COMPANY
학	I-COMPANY
는	O
 	O
디	B-PROJECT_NAME
지	I-PROJECT_NAME
털	I-PROJECT_NAME
 	I-PROJECT_NAME
아	I-PROJECT_NAME
카	I-PROJECT_NAME
이	I-PROJECT_NAME
브	I-PROJECT_NAME
 	I-PROJECT_NAME
구	I-PROJECT_NAME
축	I-PROJECT_NAME
 	I-PROJECT_NAME
사	I-PROJECT_NAME
업	I-PROJECT_NAME
를	O
 	O
금	B-MONEY
 	I-MONEY
7	I-MONEY
4	I-MONEY
2	I-MONEY
,	I-MONEY
6	I-MONEY
2	I-MONEY
8	I-MONEY
U	I-MONEY
S	I-MONEY
D	I-MONEY
 	O
예	O
산	O
으	O
로	O
 	O
진	O
행	O
하	O
며	O
 	O
계	B-STATUS
약	I-STATUS
체	I-STATUS
결	I-STATUS
는	O
 	O
2	B-DATE
0	I-DATE
1	I-DATE
7	I-DATE
년	I-DATE
 	I-DATE
7	I-DATE
월	I-DATE
 	O
현	O
재	O
 	O
정	O
상	O
입	O
니	O
다	O
.	O

공	B-RIGHT_INFO
연	I-RIGHT_INFO
권	I-RIGHT_INFO
의	O
 	O
통	B-CONTRACT_TYPE
상	I-CONTRACT_TYPE
실	I-CONTRACT_TYPE
시	I-CONTRACT_TYPE
권	I-CONTRACT_TYPE
은	O
(	O
는	O
)	O
 	O
개	B-LAW_REFERENCE
인	I-LAW_REFERENCE
정	I-LAW_REFERENCE
보	I-LAW_REFERENCE
보	I-LAW_REFERENCE
호	I-LAW_REFERENCE
법	I-LAW_REFERENCE
 	I-LAW_REFERENCE
제	I-LAW_REFERENCE
1	I-LAW_REFERENCE
5	I-LAW_REFERENCE
조	I-LAW_REFERENCE
에	O
 	O
근	O
거	O
하	O
며	O
 	O
3	B-PERIOD
9	I-PERIOD
년	I-PERIOD
간	O
 	O
7	B-MONEY
6	I-MONEY
3	I-MONEY
,	I-MONEY
1	I-MONEY
6	I-MONEY
9	I-MONEY
원	I-MONEY
로	O
 	O
합	O
의	O
되	O
었	O
습	O
니	O
다	O
.	O

정	B-LAW_REFERENCE
보	I-LAW_REFERENCE
통	I-LAW_REFERENCE
신	I-LAW_REFERENCE
망	I-LAW_REFERENCE
법	I-LAW_REFERENCE
 	I-LAW_REFERENCE
제	I-LAW_REFERENCE
2	I-LAW_REFERENCE
4	I-LAW_REFERENCE
조	I-LAW_REFERENCE
 	O
근	O
거	O
 	O
특	B-TITLE
허	I-TITLE
 	I-TITLE
실	I-TITLE
시	I-TITLE
 	I-TITLE
계	I-TITLE
약	I-TITLE
서	I-TITLE

